area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
"ontario, canada",48.477473,-81.330414,1984,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1985,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1986,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1987,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1988,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1989,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1990,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1991,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1992,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1993,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1994,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1995,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1996,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1997,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1998,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"gatineau valley, quebec, canada",45.4277659,-75.710976,1999,1,No identified sources,Forest composition_ host_population density_ and parasitism of spruce budworm Choristoneura fumiferana eggs by Trichogramma minutum.pdf,
"gatineau valley, quebec, canada",45.4277659,-75.710976,2000,1,No identified sources,Forest composition_ host_population density_ and parasitism of spruce budworm Choristoneura fumiferana eggs by Trichogramma minutum.pdf,
green river area,41.5290933,-109.466473,1948,1,No identified sources,Forest composition_ host_population density_ and parasitism of spruce budworm Choristoneura fumiferana eggs by Trichogramma minutum.pdf,
green river area,41.5290933,-109.466473,1949,1,No identified sources,Forest composition_ host_population density_ and parasitism of spruce budworm Choristoneura fumiferana eggs by Trichogramma minutum.pdf,
green river area,41.5290933,-109.466473,1950,1,No identified sources,Forest composition_ host_population density_ and parasitism of spruce budworm Choristoneura fumiferana eggs by Trichogramma minutum.pdf,
"sawyer county, wisconsin, united states",46.0129676,-91.4848728,1983,1,No identified sources,Forest cover type mapping and spruce budworm defoliation detection using simulated SPOT imagery.pdf,
oregon,44.0581728,-121.3153096,1947,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1948,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1949,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1950,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1951,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1952,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1953,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1954,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1955,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1956,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1957,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1958,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1959,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1960,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1961,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1962,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1963,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1964,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1965,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1966,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1967,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1968,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1969,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1970,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1971,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1972,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1973,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1974,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1975,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1976,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1977,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1978,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
oregon,44.0581728,-121.3153096,1979,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1969,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1970,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1971,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1972,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1973,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1974,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1975,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1976,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1977,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1978,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1979,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1980,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1981,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1982,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1983,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1984,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1985,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1986,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1987,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1988,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
pennsylvania,41.6628394,-78.8111427,1989,1,aerial defoliation survey,Forest defoliators and climatic change_ potential changes in spatial distribution of outbreaks of western spruce budworm _Lepidoptera_ Tortricidae_ and gypsy moth__.pdf,
eastern canada,46.8137431,-71.2084061,1909,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1910,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1911,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1912,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1913,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1914,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1915,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1916,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1917,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1918,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1919,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1920,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1921,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1922,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1923,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1924,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1925,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1926,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1927,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1928,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1929,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1930,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1931,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1932,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1933,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1934,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1935,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1936,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1937,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1938,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1939,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1940,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1941,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1942,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1943,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1944,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1945,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1946,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1947,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1948,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1949,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
eastern canada,46.8137431,-71.2084061,1950,1,dendrochronological samples from tree cores | aerial defoliation survey,Forest dynamics after successive spruce budworm outbreaks in mixedwood forests.pdf,
