area,latitude,longitude,year,outbreak,file_name,study
eastern canadian boreal forests,48.390458,-77.242813,1947,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1948,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1949,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1950,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1951,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1952,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1953,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1954,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1955,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1956,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1957,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1958,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1959,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1960,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1961,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1962,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1963,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1964,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1965,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1968,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1969,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1970,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1971,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1972,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1973,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1974,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1975,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1976,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1977,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1978,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1979,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1980,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1981,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1982,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1983,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1984,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1985,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1986,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1987,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian boreal forests,48.390458,-77.242813,1988,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1905,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1906,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1907,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1908,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1909,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1910,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1911,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1912,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1913,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1914,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1915,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1916,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1917,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1918,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1919,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1920,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1921,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1922,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1923,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1924,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1925,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1926,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1927,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1928,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1929,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1930,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1935,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1936,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1937,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1938,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1939,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1940,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1941,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1942,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1943,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1944,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1945,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1946,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1947,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1948,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1949,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1950,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1951,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1952,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1953,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1954,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1955,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1956,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1957,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1958,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1959,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1960,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1961,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1962,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1963,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1964,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1965,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1968,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1969,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1970,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1971,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1972,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1973,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1974,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1975,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1976,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1977,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1978,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1979,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1980,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1981,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1982,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1983,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1984,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1985,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1986,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1987,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
eastern canadian forests,45.94845575,-66.6530224218406,1988,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
northwestern quebec,48.1023356,-77.7875715,1995,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
lake duparquet,48.5026134,-79.2224096,1993,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
north of lac saint-jean,48.514785,-72.224808,1990,yes,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
lac seul region,50.640752,-93.236847,1939,yes,outbreak_data_Elliot 1960.csv,5
lake nipigon - geraldton region,49.7188752,-86.9493168,1943,yes,outbreak_data_Elliot 1960.csv,5
northwestern ontario,49.809661,-88.4811791,1944,yes,outbreak_data_Elliot 1960.csv,5
lake nipigon area,49.5998657,-87.9576817,1944,yes,outbreak_data_Elliot 1960.csv,5
geraldton,49.7188752,-86.9493168,1944,yes,outbreak_data_Elliot 1960.csv,5
sioux lookout forest district,50.11345465,-92.19624322619076,1945,yes,outbreak_data_Elliot 1960.csv,5
port arthur district,29.8988618,-93.9288723,1946,yes,outbreak_data_Elliot 1960.csv,5
sibley peninsula,49.809661,-88.4811791,1947,yes,outbreak_data_Elliot 1960.csv,5
sibley and black bay peninsulas,46.7729322,-92.1251218,1948,yes,outbreak_data_Elliot 1960.csv,5
lake nipigon infestation,49.5998657,-87.9576817,1949,no,outbreak_data_Elliot 1960.csv,5
sibley peninsula,49.809661,-88.4811791,1952,yes,outbreak_data_Elliot 1960.csv,5
southern quebec,45.5031824,-73.5698065,1976,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1977,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1978,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1979,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1980,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1981,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1982,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1983,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1984,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1985,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1986,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1987,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1988,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1989,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1990,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1991,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1946,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1947,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1948,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1949,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1950,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1951,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1952,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1953,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1954,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1955,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1956,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1957,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1958,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1959,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1915,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1916,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1917,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1918,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1919,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1920,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1921,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1922,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1923,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1924,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1925,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1926,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1927,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1928,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1929,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1872,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1873,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1874,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1875,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1876,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1877,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1878,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1879,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1880,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1881,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1882,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1883,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1884,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1885,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
southern quebec,45.5031824,-73.5698065,1886,yes,outbreak_data_Boulanger et al. 2012 SBW outbreaks 400 yrs.csv,2
